,Year_x,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group_x,Activity,Gender_x,Unique ID,Age Group_y,Year_y,Gender_y,Number with income (thousands),Mean income,"2022
dollars"
0,2003,Annual,8.48,0.031,All days,15 years and over,Sleeping,Male,2003-15 years and over-Male,15 years and over,2003,Male,100800,41480,63070
1,2003,Annual,8.16,0.039,Nonholiday weekdays,15 years and over,Sleeping,Male,2003-15 years and over-Male,15 years and over,2003,Male,100800,41480,63070
2,2003,Annual,9.22,0.044,Weekend days and holidays,15 years and over,Sleeping,Male,2003-15 years and over-Male,15 years and over,2003,Male,100800,41480,63070
3,2004,Annual,8.48,0.04,All days,15 years and over,Sleeping,Male,2004-15 years and over-Male,15 years and over,2004,Male,101800,42830,63530
4,2004,Annual,8.16,0.053,Nonholiday weekdays,15 years and over,Sleeping,Male,2004-15 years and over-Male,15 years and over,2004,Male,101800,42830,63530
5,2004,Annual,9.23,0.046,Weekend days and holidays,15 years and over,Sleeping,Male,2004-15 years and over-Male,15 years and over,2004,Male,101800,42830,63530
6,2005,Annual,8.53,0.034,All days,15 years and over,Sleeping,Male,2005-15 years and over-Male,15 years and over,2005,Male,103000,44850,64650
7,2005,Annual,8.25,0.045,Nonholiday weekdays,15 years and over,Sleeping,Male,2005-15 years and over-Male,15 years and over,2005,Male,103000,44850,64650
8,2005,Annual,9.22,0.06,Weekend days and holidays,15 years and over,Sleeping,Male,2005-15 years and over-Male,15 years and over,2005,Male,103000,44850,64650
9,2006,Annual,8.56,0.035,All days,15 years and over,Sleeping,Male,2006-15 years and over-Male,15 years and over,2006,Male,103900,46680,65390
10,2006,Annual,8.26,0.045,Nonholiday weekdays,15 years and over,Sleeping,Male,2006-15 years and over-Male,15 years and over,2006,Male,103900,46680,65390
11,2006,Annual,9.28,0.055,Weekend days and holidays,15 years and over,Sleeping,Male,2006-15 years and over-Male,15 years and over,2006,Male,103900,46680,65390
12,2007,Annual,8.52,0.038,All days,15 years and over,Sleeping,Male,2007-15 years and over-Male,15 years and over,2007,Male,104800,47140,64380
13,2007,Annual,8.2,0.05,Nonholiday weekdays,15 years and over,Sleeping,Male,2007-15 years and over-Male,15 years and over,2007,Male,104800,47140,64380
14,2007,Annual,9.24,0.055,Weekend days and holidays,15 years and over,Sleeping,Male,2007-15 years and over-Male,15 years and over,2007,Male,104800,47140,64380
15,2008,Annual,8.56,0.033,All days,15 years and over,Sleeping,Male,2008-15 years and over-Male,15 years and over,2008,Male,105400,47750,62910
16,2008,Annual,8.27,0.045,Nonholiday weekdays,15 years and over,Sleeping,Male,2008-15 years and over-Male,15 years and over,2008,Male,105400,47750,62910
17,2008,Annual,9.25,0.055,Weekend days and holidays,15 years and over,Sleeping,Male,2008-15 years and over-Male,15 years and over,2008,Male,105400,47750,62910
18,2009,Annual,8.62,0.041,All days,15 years and over,Sleeping,Male,2009-15 years and over-Male,15 years and over,2009,Male,105000,46800,61910
19,2009,Annual,8.31,0.053,Nonholiday weekdays,15 years and over,Sleeping,Male,2009-15 years and over-Male,15 years and over,2009,Male,105000,46800,61910
20,2009,Annual,9.33,0.048,Weekend days and holidays,15 years and over,Sleeping,Male,2009-15 years and over-Male,15 years and over,2009,Male,105000,46800,61910
21,2010,Annual,8.56,0.035,All days,15 years and over,Sleeping,Male,2010-15 years and over-Male,15 years and over,2010,Male,105200,47080,61430
22,2010,Annual,8.27,0.047,Nonholiday weekdays,15 years and over,Sleeping,Male,2010-15 years and over-Male,15 years and over,2010,Male,105200,47080,61430
23,2010,Annual,9.28,0.046,Weekend days and holidays,15 years and over,Sleeping,Male,2010-15 years and over-Male,15 years and over,2010,Male,105200,47080,61430
24,2011,Annual,8.62,0.036,All days,15 years and over,Sleeping,Male,2011-15 years and over-Male,15 years and over,2011,Male,106200,48950,61950
25,2011,Annual,8.33,0.046,Nonholiday weekdays,15 years and over,Sleeping,Male,2011-15 years and over-Male,15 years and over,2011,Male,106200,48950,61950
26,2011,Annual,9.31,0.059,Weekend days and holidays,15 years and over,Sleeping,Male,2011-15 years and over-Male,15 years and over,2011,Male,106200,48950,61950
27,2012,Annual,8.6,0.041,All days,15 years and over,Sleeping,Male,2012-15 years and over-Male,15 years and over,2012,Male,107500,49920,61980
28,2012,Annual,8.28,0.052,Nonholiday weekdays,15 years and over,Sleeping,Male,2012-15 years and over-Male,15 years and over,2012,Male,107500,49920,61980
29,2012,Annual,9.33,0.059,Weekend days and holidays,15 years and over,Sleeping,Male,2012-15 years and over-Male,15 years and over,2012,Male,107500,49920,61980
30,2013,Annual,8.65,0.041,All days,15 years and over,Sleeping,Male,2013-15 years and over-Male,15 years and over,2013,Male,109900,52530,64440
31,2013,Annual,8.65,0.041,All days,15 years and over,Sleeping,Male,2013-15 years and over-Male,15 years and over,2013,Male,108700,50780,62300
32,2013,Annual,8.38,0.053,Nonholiday weekdays,15 years and over,Sleeping,Male,2013-15 years and over-Male,15 years and over,2013,Male,109900,52530,64440
