,Year_x,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group_x,Activity,Gender_x,Unique ID,Age Group_y,Year_y,Gender_y,Number with income (thousands),Mean income,"2022
dollars"
0,2003,Annual,8.48,0.031,All days,15 years and over,Sleeping,Male,2003-15 years and over-Male,15 years and over,2003,Male,100800,41480,63070
1,2004,Annual,8.48,0.04,All days,15 years and over,Sleeping,Male,2004-15 years and over-Male,15 years and over,2004,Male,101800,42830,63530
2,2005,Annual,8.53,0.034,All days,15 years and over,Sleeping,Male,2005-15 years and over-Male,15 years and over,2005,Male,103000,44850,64650
3,2006,Annual,8.56,0.035,All days,15 years and over,Sleeping,Male,2006-15 years and over-Male,15 years and over,2006,Male,103900,46680,65390
4,2007,Annual,8.52,0.038,All days,15 years and over,Sleeping,Male,2007-15 years and over-Male,15 years and over,2007,Male,104800,47140,64380
5,2008,Annual,8.56,0.033,All days,15 years and over,Sleeping,Male,2008-15 years and over-Male,15 years and over,2008,Male,105400,47750,62910
6,2009,Annual,8.62,0.041,All days,15 years and over,Sleeping,Male,2009-15 years and over-Male,15 years and over,2009,Male,105000,46800,61910
7,2010,Annual,8.56,0.035,All days,15 years and over,Sleeping,Male,2010-15 years and over-Male,15 years and over,2010,Male,105200,47080,61430
8,2011,Annual,8.62,0.036,All days,15 years and over,Sleeping,Male,2011-15 years and over-Male,15 years and over,2011,Male,106200,48950,61950
9,2012,Annual,8.6,0.041,All days,15 years and over,Sleeping,Male,2012-15 years and over-Male,15 years and over,2012,Male,107500,49920,61980
10,2013,Annual,8.65,0.041,All days,15 years and over,Sleeping,Male,2013-15 years and over-Male,15 years and over,2013,Male,109900,52530,64440
11,2014,Annual,8.69,0.036,All days,15 years and over,Sleeping,Male,2014-15 years and over-Male,15 years and over,2014,Male,110400,53200,64350
12,2015,Annual,8.77,0.045,All days,15 years and over,Sleeping,Male,2015-15 years and over-Male,15 years and over,2015,Male,112300,54760,66280
13,2016,Annual,8.69,0.043,All days,15 years and over,Sleeping,Male,2016-15 years and over-Male,15 years and over,2016,Male,113200,57150,68570
14,2017,Annual,8.7,0.04,All days,15 years and over,Sleeping,Male,2017-15 years and over-Male,15 years and over,2017,Male,114700,59740,70440
15,2003,Annual,9.14,0.095,All days,15 to 24 years,Sleeping,Male,2003-15 to 24 years-Male,15 to 24 years,2003,Male,14240,13240,20140
16,2004,Annual,9.12,0.109,All days,15 to 24 years,Sleeping,Male,2004-15 to 24 years-Male,15 to 24 years,2004,Male,14200,14390,21340
17,2005,Annual,9.2,0.118,All days,15 to 24 years,Sleeping,Male,2005-15 to 24 years-Male,15 to 24 years,2005,Male,14180,14860,21420
18,2006,Annual,9.21,0.108,All days,15 to 24 years,Sleeping,Male,2006-15 to 24 years-Male,15 to 24 years,2006,Male,14090,15210,21310
19,2007,Annual,9.03,0.125,All days,15 to 24 years,Sleeping,Male,2007-15 to 24 years-Male,15 to 24 years,2007,Male,14140,15240,20810
20,2008,Annual,9.27,0.122,All days,15 to 24 years,Sleeping,Male,2008-15 to 24 years-Male,15 to 24 years,2008,Male,13780,15520,20450
21,2009,Annual,9.56,0.136,All days,15 to 24 years,Sleeping,Male,2009-15 to 24 years-Male,15 to 24 years,2009,Male,13280,14860,19660
22,2010,Annual,9.21,0.117,All days,15 to 24 years,Sleeping,Male,2010-15 to 24 years-Male,15 to 24 years,2010,Male,12950,14830,19350
23,2011,Annual,9.33,0.107,All days,15 to 24 years,Sleeping,Male,2011-15 to 24 years-Male,15 to 24 years,2011,Male,13090,14970,18950
24,2012,Annual,9.16,0.118,All days,15 to 24 years,Sleeping,Male,2012-15 to 24 years-Male,15 to 24 years,2012,Male,13270,15580,19340
25,2013,Annual,9.3,0.14,All days,15 to 24 years,Sleeping,Male,2013-15 to 24 years-Male,15 to 24 years,2013,Male,14020,18010,22090
26,2014,Annual,9.47,0.118,All days,15 to 24 years,Sleeping,Male,2014-15 to 24 years-Male,15 to 24 years,2014,Male,13620,17790,21520
27,2015,Annual,9.51,0.162,All days,15 to 24 years,Sleeping,Male,2015-15 to 24 years-Male,15 to 24 years,2015,Male,13960,17400,21060
28,2016,Annual,9.59,0.15,All days,15 to 24 years,Sleeping,Male,2016-15 to 24 years-Male,15 to 24 years,2016,Male,13790,19840,23800
29,2017,Annual,9.78,0.133,All days,15 to 24 years,Sleeping,Male,2017-15 to 24 years-Male,15 to 24 years,2017,Male,13670,19390,22860
30,2003,Annual,8.3,0.066,All days,25 to 34 years,Sleeping,Male,2003-25 to 34 years-Male,25 to 34 years,2003,Male,18680,37170,56520
31,2004,Annual,8.42,0.118,All days,25 to 34 years,Sleeping,Male,2004-25 to 34 years-Male,25 to 34 years,2004,Male,18730,37360,55410
32,2005,Annual,8.44,0.092,All days,25 to 34 years,Sleeping,Male,2005-25 to 34 years-Male,25 to 34 years,2005,Male,18900,38510,55510
33,2006,Annual,8.4,0.096,All days,25 to 34 years,Sleeping,Male,2006-25 to 34 years-Male,25 to 34 years,2006,Male,19050,40840,57210
34,2007,Annual,8.45,0.108,All days,25 to 34 years,Sleeping,Male,2007-25 to 34 years-Male,25 to 34 years,2007,Male,19020,41520,56710
35,2008,Annual,8.48,0.093,All days,25 to 34 years,Sleeping,Male,2008-25 to 34 years-Male,25 to 34 years,2008,Male,19320,41760,55020
